id,user_id,movie_id,rating,rating_time
1,86879,faces+1968,3,2024-03-14T02:14:22
2,196711,the+cat+returns+2002,4,2024-03-14T02:14:22
3,668714,kirikou+and+the+sorceress+1998,3,2024-03-14T02:14:23
4,316891,predator+1987,4,2024-03-14T02:14:23
5,79264,alice+in+wonderland+1951,4,2024-03-14T02:14:24
6,48285,the+terminator+1984,4,2024-03-14T02:14:24
7,719253,frances+ha+2013,4,2024-03-14T02:14:24
8,504104,daughters+of+the+dust+1991,4,2024-03-14T02:14:24
9,222604,gosford+park+2001,4,2024-03-14T02:14:25
10,191650,trapped+in+paradise+1994,3,2024-03-14T02:14:25
11,545145,rahtree+flower+of+the+night+2003,5,2024-03-14T02:14:25
12,60333,the+invisible+woman+1940,3,2024-03-14T02:14:25
13,416644,47+samurai+1962,5,2024-03-14T02:14:26
14,406856,inception+2010,4,2024-03-14T02:14:26
15,388818,the+fifth+element+1997,3,2024-03-14T02:14:26
16,302425,pink+floyd+the+wall+1982,3,2024-03-14T02:14:26
17,169905,the+taste+of+others+2000,3,2024-03-14T02:14:26
18,626896,west+of+memphis+2012,3,2024-03-14T02:14:26
19,219770,the+quiet+man+1952,3,2024-03-14T02:14:27
20,196540,kill+buljo+2007,4,2024-03-14T02:14:27
21,413678,ystvni+henry+2004,4,2024-03-14T02:14:27
22,694685,sexmission+1984,4,2024-03-14T02:14:27
23,387853,brothers+keeper+1992,5,2024-03-14T02:14:28
24,663095,i+saw+the+devil+2010,4,2024-03-14T02:14:28
25,456395,the+five+senses+1999,3,2024-03-14T02:14:29
26,589781,chennai+express+2013,3,2024-03-14T02:14:29
27,315694,wolf+1994,3,2024-03-14T02:14:29
28,610089,hollow+triumph+1948,1,2024-03-14T02:14:31
29,12364,a+short+film+about+love+1988,4,2024-03-14T02:14:31
30,400868,force+of+evil+1948,4,2024-03-14T02:14:31
31,572435,star+wars+the+clone+wars+2008,3,2024-03-14T02:14:31
32,778,kill+buljo+2007,4,2024-03-14T02:14:32
33,13811,the+wolf+of+wall+street+2013,4,2024-03-14T02:14:32
34,301665,the+place+beyond+the+pines+2013,3,2024-03-14T02:14:32
35,619755,the+ruling+class+1972,4,2024-03-14T02:14:32
36,413805,extremities+1986,3,2024-03-14T02:14:33
37,624724,faces+1968,5,2024-03-14T02:14:33
38,362976,tokyo+godfathers+2003,4,2024-03-14T02:14:35
39,16545,bill+hicks+relentless+1992,4,2024-03-14T02:14:36
40,309279,the+u.s.+vs.+john+lennon+2006,4,2024-03-14T02:14:36
41,690647,big+wednesday+1978,3,2024-03-14T02:14:37
42,621917,rab+ne+bana+di+jodi+2008,4,2024-03-14T02:14:37
43,148473,princesses+2005,3,2024-03-14T02:14:38
44,411725,gentlemen+of+fortune+1971,3,2024-03-14T02:14:38
45,125966,shanghai+express+1932,4,2024-03-14T02:14:38
46,105326,the+station+agent+2003,4,2024-03-14T02:14:39
47,519525,a+better+place+1997,3,2024-03-14T02:14:39
48,109338,pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003,5,2024-03-14T02:14:39
49,141949,dr.+mabuse_+the+gambler+1922,5,2024-03-14T02:14:39
50,40008,23+1998,4,2024-03-14T02:14:39
51,123108,ghost+adventures+2007,3,2024-03-14T02:14:39
52,190282,the+heiress+1949,4,2024-03-14T02:14:39
53,719883,the+informant+2009,3,2024-03-14T02:14:39
54,658200,the+trials+of+henry+kissinger+2002,3,2024-03-14T02:37:41
55,641155,loudquietloud+a+film+about+the+pixies+2006,5,2024-03-14T02:37:43
56,411871,an+occurrence+at+owl+creek+bridge+1962,3,2024-03-14T02:37:43
57,387778,the+heiress+1949,5,2024-03-14T02:37:43
58,161147,the+ruling+class+1972,4,2024-03-14T02:37:44
59,404324,the+avengers+2012,5,2024-03-14T02:37:44
60,409997,a+short+film+about+love+1988,4,2024-03-14T02:37:44
61,130484,the+heiress+1949,3,2024-03-14T02:37:44
62,220841,big+wednesday+1978,3,2024-03-14T02:37:45
63,26977,faces+1968,3,2024-03-14T02:37:45
64,101550,detroit+rock+city+1999,4,2024-03-14T02:37:45
65,216914,the+shawshank+redemption+1994,4,2024-03-14T02:37:46
66,519769,mouth+to+mouth+1995,3,2024-03-14T02:37:46
67,355961,conversations+with+other+women+2006,3,2024-03-14T02:37:46
68,478897,malena+2000,4,2024-03-14T02:37:46
69,450175,traveller+1997,4,2024-03-14T02:37:47
70,626637,kill+buljo+2007,2,2024-03-14T02:37:47
71,91019,the+shawshank+redemption+1994,5,2024-03-14T02:37:47
72,554727,armored+2009,4,2024-03-14T02:37:47
73,603425,traveller+1997,3,2024-03-14T02:37:48
74,124985,harry+potter+and+the+half-blood+prince+2009,3,2024-03-14T02:37:48
75,12627,the+sure+thing+1985,3,2024-03-14T02:37:49
76,87027,let+fury+have+the+hour+2012,3,2024-03-14T02:37:50
77,416399,brothers+keeper+1992,4,2024-03-14T02:37:50
78,610352,shrek+forever+after+2010,3,2024-03-14T02:37:51
79,183352,daughters+of+the+dust+1991,3,2024-03-14T02:37:51
80,642445,the+imitation+game+2014,3,2024-03-14T02:37:51
81,417520,galaxy+quest+1999,4,2024-03-14T02:37:51
82,426453,mishima+a+life+in+four+chapters+1985,3,2024-03-14T02:37:51
83,179849,interstellar+2014,4,2024-03-14T02:37:52
84,470922,conversations+with+other+women+2006,4,2024-03-14T02:37:52
85,185992,the+little+foxes+1941,4,2024-03-14T02:37:53
86,273617,toy+story+3+2010,5,2024-03-14T02:37:53
87,167797,escape+to+victory+1981,3,2024-03-14T02:37:53
88,353003,men+in+black+ii+2002,3,2024-03-14T02:37:53
89,620154,elizabeth+i+2005,4,2024-03-14T02:37:54
90,366210,beautiful+losers+2008,4,2024-03-14T02:37:55
91,588303,riff-raff+1991,3,2024-03-14T02:37:57
92,187546,trouble+with+the+curve+2012,3,2024-03-14T02:37:57
93,471434,a+single+man+2009,4,2024-03-14T02:37:57
94,322747,42nd+street+1933,4,2024-03-14T02:37:57
95,239087,the+place+beyond+the+pines+2013,5,2024-03-14T02:37:59
96,663018,the+girl+who+played+with+fire+2009,4,2024-03-14T02:37:59
97,251523,the+substitute+1993,4,2024-03-14T02:37:59
98,592171,the+fifth+element+1997,4,2024-03-14T02:37:59
99,466204,tombstone+1993,3,2024-03-14T02:14:40
100,78064,fast+times+at+ridgemont+high+1982,3,2024-03-14T02:14:42
101,505373,barneys+version+2010,3,2024-03-14T02:14:43
